student_id,subject,concept_id,mastery_score
stu_001,computer_security,memory_layout,0.82
stu_001,computer_security,stack_frame,0.74
stu_001,computer_security,buffer_overflow,0.41
stu_001,computer_security,format_string_vulnerability,0.56
stu_001,computer_security,integer_overflow,0.47
stu_001,computer_security,authentication,0.84
stu_001,computer_security,authorization_access_control,0.61
stu_001,computer_security,reference_monitor,0.35
stu_002,computer_security,memory_layout,0.76
stu_002,computer_security,stack_frame,0.68
stu_002,computer_security,buffer_overflow,0.52
stu_002,computer_security,format_string_vulnerability,0.48
stu_002,computer_security,integer_overflow,0.43
stu_002,computer_security,authentication,0.79
stu_002,computer_security,authorization_access_control,0.55
stu_002,computer_security,reference_monitor,0.29
stu_003,computer_security,memory_layout,0.91
stu_003,computer_security,stack_frame,0.88
stu_003,computer_security,buffer_overflow,0.66
stu_003,computer_security,format_string_vulnerability,0.72
stu_003,computer_security,integer_overflow,0.63
stu_003,computer_security,authentication,0.93
stu_003,computer_security,authorization_access_control,0.81
stu_003,computer_security,reference_monitor,0.54
